title,rating,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,80,2004,82.0,80
Lucky Number Slevin,R,100,2006,46.0,82
Grey's Anatomy,TV-14,90,2016,98.0,80
Prison Break,TV-14,90,2008,98.0,80
How I Met Your Mother,TV-PG,70,2014,94.0,80
Supernatural,TV-14,90,2016,95.0,80
Breaking Bad,TV-MA,110,2013,97.0,80
The Vampire Diaries,TV-14,90,2017,91.0,80
The Walking Dead,TV-MA,110,2015,98.0,80
Pretty Little Liars,TV-14,90,2016,96.0,80
Once Upon a Time,TV-PG,70,2016,98.0,80
Sherlock,TV-14,90,2016,95.0,80
Death Note,TV-14,90,2006,77.0,80
Naruto,TV-PG,70,2008,88.0,80
The Hunter,R,100,2011,67.0,82
Lottie Dottie Chicken,TV-Y,10,2009,79.0,82
Arrow,TV-14,90,2015,96.0,80
Black Mirror,TV-MA,110,2016,80.0,80
The Originals,TV-14,90,2016,74.0,80
The 100,NR,124,2016,97.0,80
Masha and the Bear,TV-Y,10,2013,81.0,80
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,110,2007,55.0,82
Nymphomaniac: Volume 1,NR,124,2013,66.0,82
Hunter X Hunter (2011),NR,124,2013,57.0,80
Marvel's Luke Cage,TV-MA,110,2016,95.0,80
Marvel's Iron Fist,TV-MA,110,2017,98.0,80
Narcos,TV-MA,110,2016,94.0,80
The Flash,TV-PG,70,2016,98.0,80
The Seven Deadly Sins,TV-14,90,2016,82.0,82
Scream,TV-14,90,2016,76.0,82
The Do-Over,TV-MA,110,2016,84.0,80
OperaÌ¤Ìµes Especiais,TV-MA,110,2015,72.0,82
3%,TV-MA,110,2016,71.0,82
Trollhunters,TV-Y7-FV,42,2016,83.0,80
Fearless,TV-14,90,2016,94.0,82
Hyena Road,R,100,2015,88.0,82
Santa Clarita Diet,TV-MA,110,2017,82.0,80
"Sex, Love and Therapy",NR,124,2014,70.0,82
White Girl,UR,124,2016,54.0,82
Girlboss,TV-MA,110,2017,94.0,80
City of God: 10 Years Later,TV-MA,110,2013,95.0,82
13 Reasons Why,TV-MA,110,2017,99.0,80
Sand Castle,TV-MA,110,2017,89.0,80
Salvador Martinha - Tip of the Tongue,TV-MA,110,2016,85.0,82
Sandy Wexler,TV-14,90,2017,92.0,80
O Amor no DivÌ£,TV-MA,110,2016,66.0,82
Stronger Than the World,NR,124,2016,55.0,82
Back and Forth,NR,124,2016,86.0,82
Happily Married,TV-14,90,2015,86.0,82
Pandora,TV-MA,110,2016,49.0,82
The Office (U.S.),TV-14,90,2012,97.0,80
90210,TV-14,90,2013,62.0,80
Gossip Girl,TV-14,90,2012,96.0,80
Parks and Recreation,TV-14,90,2015,94.0,80
Glee,TV-PG,70,2015,92.0,80
Family Guy,TV-MA,110,2015,98.0,80
Criminal Minds,TV-14,90,2016,98.0,80
Friends,TV-14,90,2003,98.0,80
The Secret Life of the American Teenager,TV-14,90,2013,81.0,80
One Tree Hill,TV-14,90,2011,90.0,80
Shameless (U.S.),TV-MA,110,2016,97.0,80
New Girl,TV-14,90,2016,91.0,80
American Horror Story,TV-MA,110,2016,90.0,80
